model,price,year,km,color,country
Model x,51000.0,2019,80000,Gris/Plata,España
Model x,54900.0,2021,58000,Gris/Plata,España
Model x,84900.0,2023,10000,Negro,España
Model x,47500.0,2019,117000,Negro,España
Model x,59900.0,2019,54500,Negro,España
Model x,48000.0,2018,83000,Negro,España
Model x,33900.0,2018,219000,Negro,España
Model x,42900.0,2018,165000,Negro,España
Model x,44900.0,2017,129200,Negro,España
Model x,37500.0,2019,79000,Negro,España
Model x,56890.0,2018,43815,Negro,España
Model x,56890.0,2018,43815,Negro,España
Model x,35000.0,2017,82000,Negro,España
Model x,57995.0,2018,119000,Negro,España
Model x,54900.0,2020,145000,Negro,España
Model x,41990.0,2020,180000,Negro,España
Model x,49995.0,2018,88281,Negro,España
Model x,36900.0,2017,90900,Negro,España
Model x,89900.0,2023,10000,Negro,España
Model x,31900.0,2017,200000,Negro,España
Model x,49900.0,2017,133500,Negro,España
Model x,40900.0,2019,114000,Negro,España
Model x,55000.0,2019,120000,Negro,España
Model x,49950.0,2017,90000,Negro,España
Model x,54900.0,2020,93000,Rojo,España
Model x,54900.0,2020,93000,Rojo,España
Model x,38500.0,2017,130000,Rojo,España
Model Y,31400.0,2022,72000,Blanco,España
Model Y,42900.0,2023,45000,Blanco,España
Model Y,39900.0,2023,46686,Blanco,España
Model Y,41900.0,2022,51900,Blanco,España
Model Y,46990.0,2024,7925,Blanco,España
Model Y,33500.0,2023,45000,Blanco,España
Model Y,46990.0,2024,7925,Blanco,España
Model Y,46990.0,2024,7925,Blanco,España
Model Y,39000.0,2023,25000,Blanco,España
Model Y,47000.0,2024,3500,Blanco,España
Model Y,14900.0,2023,3200,Blanco,España
Model Y,35250.0,2023,29000,Blanco,España
Model Y,34300.0,2022,29000,Blanco,España
Model Y,39990.0,2023,85000,Blanco,España
Model Y,39850.0,2021,48000,Blanco,España
Model Y,40300.0,2023,20200,Blanco,España
Model Y,38900.0,2023,69200,Blanco,España
Model Y,36000.0,2023,41146,Blanco,España
Model Y,46000.0,2022,33000,Blanco,España
Model Y,31400.0,2022,72000,Blanco,España
Model Y,34500.0,2024,29000,Blanco,España
Model Y,34997.0,2022,27200,Blanco,España
Model Y,34990.0,2023,35000,Blanco,España
Model Y,34900.0,2022,69000,Blanco,España
Model Y,36200.0,2022,29000,Blanco,España
Model Y,39990.0,2023,38000,Blanco,España
Model Y,50900.0,2024,2500,Blanco,España
Model Y,50900.0,2024,2200,Blanco,España
Model Y,48000.0,2022,33500,Blanco,España
Model Y,36000.0,2023,41000,Blanco,España
Model Y,50900.0,2024,5000,Gris/Plata,España
Model Y,50900.0,2024,5000,Gris/Plata,España
Model Y,43000.0,2023,36000,Gris/Plata,España
Model Y,37900.0,2023,43500,Gris/Plata,España
Model Y,49999.0,2023,57717,Gris/Plata,España
Model Y,40500.0,2022,62000,Negro,España
Model Y,36500.0,2024,10778,Negro,España
Model Y,35250.0,2022,36413,Negro,España
Model Y,44900.0,2023,89000,Negro,España
Model Y,34990.0,2022,28400,Negro,España
Model Y,40500.0,2022,62000,Negro,España
Model Y,35250.0,2022,36413,Negro,España
Model Y,33420.0,2021,96000,Rojo,España
Model S,42000.0,2020,58000,Azul,España
Model S,42000.0,2020,58000,Azul,España
Model S,35000.0,2017,220000,Azul,España
Model S,34900.0,2020,142000,Azul,España
Model S,25990.0,2015,98000,Azul,España
Model S,23900.0,2014,250000,Azul,España
Model S,24990.0,2016,155000,Azul,España
Model S,28999.0,2018,178000,Azul,España
Model S,38890.0,2019,89831,Azul,España
Model S,34500.0,2017,85000,Azul,España
Model S,41995.0,2018,60000,Azul,España
Model S,42900.0,2020,109900,Azul,España
Model S,39000.0,2019,109000,Azul,España
Model S,23000.0,2014,485000,Azul,España
Model Y,49995.0,2023,25700,Azul,España
Model Y,49995.0,2023,25700,Azul,España
Model Y,35475.0,2021,63000,Azul,España
Model Y,30000.0,2021,10200,Azul,España
Model 3,19990.0,2019,139000,Azul,España
Model 3,27990.0,2020,45063,Azul,España
Model 3,32890.0,2020,65090,Azul,España
Model 3,25750.0,2020,125000,Azul,España
Model 3,26500.0,2019,68000,Azul,España
Model 3,28490.0,2020,47479,Azul,España
Model 3,26490.0,2019,81803,Azul,España
Model 3,42500.0,2024,2490,Azul,España
Model 3,26500.0,2019,105000,Azul,España
Model 3,32890.0,2020,65090,Azul,España
Model 3,25990.0,2022,63000,Azul,España
Model 3,34990.0,2021,65000,Azul,España
Model 3,29000.0,2021,113800,Azul,España
Model 3,25850.0,2021,93000,Azul,España
Model 3,25850.0,2021,93000,Azul,España
Model 3,28990.0,2019,39413,Azul,España
Model 3,29790.0,2022,57671,Azul,España
Model 3,27950.0,2022,57000,Azul,España
Model 3,27950.0,2022,57000,Azul,España
Model 3,27850.0,2022,65000,Azul,España
Model 3,27850.0,2022,65000,Azul,España
Model 3,27850.0,2021,54000,Azul,España
Model 3,32900.0,2019,60400,Azul,España
Model 3,23500.0,2019,76000,Azul,España
Model 3,29700.0,2020,21318,Azul,España
Model 3,29990.0,2019,78000,Azul,España
Model 3,21500.0,2020,129446,Azul,España
Model 3,24000.0,2019,137183,Azul,España
Model 3,27490.0,2020,127000,Azul,España
Model 3,24999.0,2019,108000,Azul,España
Model 3,36500.0,2022,19700,Azul,España
Model 3,25940.0,2019,124839,Azul,España
Model 3,37990.0,2022,25000,Azul,España
Model 3,35500.0,2021,63000,Azul,España
Model 3,31900.0,2020,57000,Azul,España
Model 3,25000.0,2019,53000,Azul,España
Model 3,22999.0,2019,114000,Azul,España
Model 3,37900.0,2021,155000,Azul,España
Model 3,37000.0,2022,60000,Azul,España
Model 3,25000.0,2019,74000,Azul,España
Model 3,24000.0,2019,137183,Azul,España
Model 3,21499.0,2020,128500,Azul,España
Model x,34900.0,2017,240000,Azul,España
Model x,37900.0,2017,74000,Azul,España
Model x,34900.0,2017,240000,Azul,España
