Modelo,Precio (€),Año,Kilometraje (kms),Color,País
Tesla Model Y Standard Range,"42,645",2024,9,Azul,Portugal
Tesla Model Y Standard Range,"42,750",2024,"5,950",Negro,España
Tesla Model Y Standard Range,"43,090",2025,4,Blanco,Francia
Tesla Model Y Long Range AWD,"43,100",2022,"71,294",Azul,Francia
Tesla Model Y Standard Range,"43,440",2024,"2,798",Negro,España
Tesla Model Y Long Range AWD,"41,600",2022,"31,021",Negro,Portugal
Tesla Model Y Standard Range,"43,640",2025,5,Negro,Francia
Tesla Model Y Standard Range,"43,640",2024,0,Negro,Francia
Tesla Model Y Standard Range,"43,725",2025,5,Negro,Portugal
Tesla Model Y Standard Range,"43,815",2025,0,Desconocido,Portugal
Tesla Model Y Standard Range,"43,815",2024,15,Desconocido,Portugal
Tesla Model Y Standard Range,"43,815",2024,86,Desconocido,Portugal
Tesla Model Y Long Range AWD,"43,900",2022,"35,338",Blanco,Portugal
Tesla Model Y Long Range AWD,"44,000",2022,"54,383",Blanco,Portugal
Tesla Model Y Standard Range,"44,260",2025,0,Blanco,España
Tesla Model Y Standard Range,"44,280",2025,0,Blanco,Francia
Tesla Model Y Standard Range,"44,390",2025,4,Negro,Francia
Tesla Model Y Standard Range,"44,490",2024,"6,282",Blanco,España
Tesla Model Y Standard Range,"44,590",2024,"6,998",Azul,España
Tesla Model Y Standard Range,"44,715",2025,5,Negro,Portugal
Tesla Model Y Standard Range,"44,715",2024,0,Azul,Portugal
Tesla Model Y Standard Range,"44,895",2025,0,Desconocido,Portugal
Tesla Model Y Standard Range,"44,970",2024,"5,091",Negro,España
Tesla Model Y Standard Range,"45,035",2024,0,Desconocido,Portugal
Tesla Model Y Long Range AWD,"45,400",2023,"10,713",Rojo,Francia
Tesla Model Y Long Range RWD,"45,490",2024,"16,846",Desconocido,España
Tesla Model Y Long Range AWD,"45,500",2022,"36,306",Plata,Portugal
Tesla Model Y Standard Range,"45,525",2024,"5,023",Desconocido,Portugal
Tesla Model Y Long Range RWD,"45,540",2024,"8,099",Blanco,España
Tesla Model Y Standard Range,"45,560",2025,0,Azul,España
Tesla Model Y Long Range RWD,"45,560",2024,"7,996",Blanco,España
Tesla Model Y Standard Range,"45,630",2024,3,Blanco,Francia
Tesla Model Y Standard Range,"45,750",2024,"1,317",Blanco,España
Tesla Model Y Standard Range,"45,795",2024,0,Azul,Portugal
Tesla Model Y Standard Range,"45,795",2024,16,Azul,Portugal
Tesla Model Y Standard Range,"45,935",2024,7,Negro,Portugal
Tesla Model Y Standard Range,"45,990",2024,"5,128",Azul,España
Tesla Model Y Standard Range,"46,115",2024,12,Rojo,Portugal
Tesla Model Y Standard Range,"46,495",2025,4,Blanco,Portugal
Tesla Model Y Long Range AWD,"46,500",2022,"31,967",Blanco,Portugal
Tesla Model Y Long Range AWD,"46,500",2022,"32,157",Blanco,Portugal
Tesla Model Y Standard Range,"46,790",2024,"1,011",Rojo,España
Tesla Model Y Performance,"46,800",2023,"48,582",Negro,España
Tesla Model Y Long Range RWD,"46,830",2024,"4,075",Rojo,España
Tesla Model Y Long Range RWD,"46,930",2024,"1,991",Blanco,España
Tesla Model Y Long Range RWD,"46,990",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"47,000",2022,"28,496",Blanco,Portugal
Tesla Model Y Long Range AWD,"47,000",2022,"28,755",Blanco,Portugal
Tesla Model Y Long Range RWD,"47,080",2024,"3,293",Rojo,España
Tesla Model Y Long Range RWD,"47,580",2024,"4,462",Blanco,España
Tesla Model Y Standard Range,"47,660",2025,4,Azul,España
Tesla Model Y Long Range AWD,"47,850",2024,0,Negro,Francia
Tesla Model Y Long Range AWD,"47,990",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"48,110",2023,"7,085",Blanco,España
Tesla Model Y Long Range RWD,"48,180",2025,4,Blanco,Francia
Tesla Model Y Long Range RWD,"48,210",2024,"2,376",Blanco,España
Tesla Model Y Long Range RWD,"48,210",2024,"2,946",Rojo,España
Tesla Model Y Long Range AWD,"48,800",2023,"11,184",Negro,Francia
Tesla Model Y Performance,"48,800",2022,"20,423",Blanco,Francia
Tesla Model Y Long Range AWD,"48,895",2023,"5,218",Blanco,Portugal
Tesla Model Y Long Range RWD,"49,030",2024,"3,274",Desconocido,España
Tesla Model Y Long Range AWD,"49,040",2023,"2,036",Blanco,España
Tesla Model Y Long Range RWD,"49,160",2025,2,Blanco,España
Tesla Model Y Long Range AWD,"49,180",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"49,180",2024,6,Blanco,Francia
Tesla Model Y Long Range AWD,"49,230",2024,5,Blanco,Francia
Tesla Model Y Long Range AWD,"49,290",2025,0,Azul,Francia
Tesla Model Y Long Range AWD,"49,290",2024,4,Negro,Francia
Tesla Model Y Long Range AWD,"49,290",2024,145,Negro,Francia
Tesla Model Y Long Range AWD,"49,300",2024,"3,169",Rojo,Francia
Tesla Model Y Long Range AWD,"49,340",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"49,340",2024,4,Blanco,Francia
Tesla Model Y Long Range RWD,"49,410",2025,0,Azul,España
Tesla Model Y Long Range RWD,"49,790",2024,211,Blanco,España
Tesla Model Y Long Range RWD,"49,830",2024,26,Blanco,España
Tesla Model Y Long Range AWD,"49,840",2024,400,Blanco,España
Tesla Model Y Long Range AWD,"49,890",2024,7,Negro,Francia
Tesla Model Y Long Range RWD,"49,970",2024,"3,723",Desconocido,España
Tesla Model Y Long Range RWD,"49,975",2025,4,Blanco,Portugal
Tesla Model Y Long Range AWD,"49,995",2023,"5,887",Azul,Portugal
Tesla Model Y Long Range AWD,"50,090",2025,0,Blanco,Francia
Tesla Model Y Long Range RWD,"50,160",2024,9,Negro,España
Tesla Model Y Long Range AWD,"50,375",2025,0,Blanco,Portugal
Tesla Model Y Long Range AWD,"50,480",2025,0,Negro,Francia
Tesla Model Y Long Range RWD,"50,500",2024,"4,041",Rojo,España
Tesla Model Y Long Range AWD,"50,530",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"50,530",2024,4,Blanco,Francia
Tesla Model Y Long Range AWD,"50,560",2024,"3,179",Blanco,España
Tesla Model Y Long Range AWD,"50,590",2025,0,Desconocido,Francia
Tesla Model Y Performance,"50,600",2022,"14,953",Negro,Francia
Tesla Model Y Long Range AWD,"50,640",2025,0,Negro,Francia
Tesla Model Y Long Range AWD,"50,875",2024,"6,214",Blanco,Portugal
Tesla Model Y Long Range RWD,"50,940",2025,2,Rojo,Francia
Tesla Model Y Long Range AWD,"51,020",2024,"2,501",Azul,España
Tesla Model Y Long Range RWD,"51,070",2024,5,Desconocido,España
Tesla Model Y Long Range AWD,"51,280",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"51,390",2025,0,Negro,Francia
Tesla Model Y Long Range AWD,"51,390",2025,2,Azul,Francia
Tesla Model Y Long Range RWD,"51,405",2024,"2,545",Negro,Portugal
Tesla Model Y Long Range AWD,"51,420",2024,"2,857",Azul,España
Tesla Model Y Long Range AWD,"51,440",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"51,515",2025,0,Blanco,Portugal
Tesla Model Y Long Range AWD,"51,655",2025,4,Blanco,Portugal
Tesla Model Y Long Range AWD,"51,655",2024,0,Blanco,Portugal
Tesla Model Y Long Range AWD,"51,655",2024,12,Blanco,Portugal
Tesla Model Y Long Range RWD,"51,740",2025,4,Negro,Francia
Tesla Model Y Long Range AWD,"51,760",2025,0,Blanco,España
Tesla Model Y Long Range AWD,"51,780",2025,0,Desconocido,Francia
Tesla Model Y Long Range AWD,"51,830",2025,2,Negro,Francia
Tesla Model Y Long Range AWD,"51,940",2025,0,Desconocido,Francia
Tesla Model Y Long Range RWD,"52,435",2024,"4,586",Desconocido,Portugal
Tesla Model Y Long Range AWD,"52,550",2024,"1,520",Negro,España
Tesla Model Y Long Range AWD,"52,580",2025,0,Negro,Francia
Tesla Model Y Long Range AWD,"52,580",2024,7,Negro,Francia
Tesla Model Y Long Range RWD,"52,625",2025,0,Azul,Portugal
Tesla Model Y Long Range AWD,"52,630",2024,7,Blanco,Francia
Tesla Model Y Long Range AWD,"52,635",2024,"3,709",Azul,Portugal
Tesla Model Y Long Range AWD,"52,690",2024,5,Rojo,Francia
Tesla Model Y Long Range AWD,"52,810",2025,0,Blanco,España
Tesla Model Y Long Range AWD,"52,980",2025,0,Negro,Francia
Tesla Model Y Long Range AWD,"53,050",2024,26,Blanco,España
Tesla Model Y Long Range AWD,"53,060",2025,0,Negro,España
Tesla Model Y Long Range AWD,"53,060",2024,12,Negro,España
Tesla Model Y Long Range AWD,"53,090",2025,4,Negro,Francia
Tesla Model Y Long Range AWD,"53,090",2024,10,Negro,España
Tesla Model Y Performance,"53,510",2024,9,Negro,Francia
Tesla Model Y Long Range RWD,"53,575",2024,5,Negro,Portugal
Tesla Model Y Long Range AWD,"53,795",2024,0,Azul,Portugal
Tesla Model Y Performance,"53,990",2025,0,Blanco,Francia
Tesla Model Y Long Range AWD,"54,035",2024,4,Azul,Portugal
Tesla Model Y Long Range AWD,"54,125",2025,0,Rojo,Portugal
Tesla Model Y Long Range AWD,"54,280",2025,5,Negro,Francia
Tesla Model Y Performance,"54,770",2024,0,Rojo,Francia
Tesla Model Y Performance,"54,770",2024,59,Desconocido,Francia
Tesla Model Y Long Range AWD,"54,910",2024,565,Blanco,España
Tesla Model Y Long Range AWD,"55,005",2024,"3,976",Azul,Portugal
Tesla Model Y Long Range AWD,"55,070",2025,7,Blanco,España
Tesla Model Y Long Range AWD,"55,070",2024,10,Blanco,España
Tesla Model Y Long Range AWD,"55,070",2023,28,Blanco,España
Tesla Model Y Performance,"55,180",2024,0,Blanco,Francia
Tesla Model Y Performance,"55,220",2024,"2,276",Blanco,España
Tesla Model Y Long Range AWD,"55,230",2024,4,Rojo,Francia
Tesla Model Y Performance,"55,290",2025,0,Negro,Francia
Tesla Model Y Performance,"55,290",2025,4,Azul,Francia
Tesla Model Y Performance,"55,340",2024,0,Blanco,Francia
Tesla Model Y Long Range AWD,"55,455",2025,4,Blanco,Portugal
Tesla Model Y Long Range AWD,"55,460",2024,9,Blanco,España
Tesla Model Y Performance,"55,710",2024,0,Blanco,España
Tesla Model Y Performance,"56,080",2024,9,Desconocido,Francia
Tesla Model Y Long Range AWD,"56,215",2024,0,Azul,Portugal
Tesla Model Y Long Range AWD,"56,230",2024,831,Desconocido,España
Tesla Model Y Long Range AWD,"56,420",2025,0,Blanco,España
Tesla Model Y Performance,"56,440",2025,7,Desconocido,Francia
Tesla Model Y Performance,"56,480",2025,2,Negro,Francia
Tesla Model Y Performance,"56,590",2025,0,Desconocido,Francia
Tesla Model Y Performance,"56,590",2024,12,Rojo,Francia
Tesla Model Y Performance,"56,640",2025,0,Negro,Francia
Tesla Model Y Performance,"56,810",2024,612,Azul,España
Tesla Model Y Long Range AWD,"56,920",2025,4,Desconocido,España
Tesla Model Y Performance,"56,950",2024,10,Desconocido,España
Tesla Model Y Performance,"56,950",2024,95,Desconocido,España
Tesla Model Y Performance,"57,700",2024,10,Negro,España
Tesla Model Y Performance,"57,780",2025,0,Rojo,Francia
Tesla Model Y Performance,"57,940",2025,2,Desconocido,Francia
Tesla Model Y Performance,"58,500",2024,7,Blanco,España
Tesla Model Y Long Range AWD,"58,735",2025,4,Negro,Portugal
Tesla Model Y Performance,"58,960",2024,179,Rojo,España
Tesla Model Y Performance,"58,970",2025,0,Blanco,España
Tesla Model Y Performance,"58,970",2024,9,Azul,España
Tesla Model Y Performance,"58,975",2025,0,Blanco,Portugal
Tesla Model Y Long Range AWD,"59,290",2025,4,Azul,Francia
Tesla Model Y Performance,"59,440",2024,54,Desconocido,España
Tesla Model Y Performance,"60,275",2025,5,Negro,Portugal
Tesla Model Y Performance,"60,390",2025,5,Desconocido,Francia
Tesla Model Y Performance,"61,475",2025,4,Negro,Portugal
Tesla Model Y Performance,"61,475",2024,7,Azul,Portugal
Tesla Model Y Performance,"61,490",2025,4,Blanco,Francia
Tesla Model Y Performance,"61,500",2024,395,Negro,España
Tesla Model Y Performance,"61,575",2025,4,Rojo,Portugal
Tesla Model Y Performance,"61,620",2024,6,Negro,España
Tesla Model Y Performance,"62,620",2024,9,Rojo,España
Tesla Model Y Performance,"62,825",2024,9,Azul,Portugal
Tesla Model Y Performance,"62,930",2025,2,Desconocido,Francia
Tesla Model Y Performance,"64,815",2024,13,Azul,Portugal
Tesla Model Y Performance,"66,420",2024,10,Rojo,España
Tesla Model Y Performance,"67,775",2025,4,Negro,Portugal
