Modelo,Precio (€),Año,Kilometraje (kms),Color,País
Tesla Model 3 Performance,"35,200",2020,"111,567",Negro,Francia
Tesla Model 3 Performance,"35,300",2021,"53,081",Blanco,España
Tesla Model 3,"35,380",2024,"6,671",Desconocido,España
Tesla Model 3,"35,640",2024,"5,390",Desconocido,España
Tesla Model 3,"35,700",2023,"26,036",Negro,Francia
Tesla Model 3 Long Range AWD,"35,700",2021,"64,707",Negro,Francia
Tesla Model 3,"35,720",2024,"4,991",Desconocido,España
Tesla Model 3 Performance,"35,800",2021,"90,951",Blanco,Francia
Tesla Model 3 Long Range AWD,"35,900",2021,"26,089",Blanco,España
Tesla Model 3 Long Range AWD,"35,900",2021,"63,769",Negro,España
Tesla Model 3 Performance,"36,000",2020,"38,031",Blanco,Francia
Tesla Model 3,"36,270",2024,"6,562",Azul,España
Tesla Model 3 Long Range AWD,"36,300",2021,"42,189",Blanco,España
Tesla Model 3,"36,470",2025,0,Blanco,España
Tesla Model 3,"36,470",2024,"5,580",Azul,España
Tesla Model 3,"36,700",2024,"1,817",Blanco,España
Tesla Model 3,"36,740",2024,"7,210",Desconocido,España
Tesla Model 3 Performance,"39,200",2020,"30,295",Negro,Francia
Tesla Model 3,"37,000",2024,21,Blanco,España
Tesla Model 3 Long Range AWD,"37,000",2020,"22,191",Negro,Francia
Tesla Model 3 Long Range AWD,"37,100",2022,"30,168",Negro,España
Tesla Model 3 Performance,"35,900",2021,"42,177",Negro,Francia
Tesla Model 3,"37,160",2024,"5,548",Desconocido,España
Tesla Model 3,"37,300",2024,676,Blanco,España
Tesla Model 3,"37,300",2024,692,Blanco,España
Tesla Model 3,"37,310",2024,"5,656",Negro,España
Tesla Model 3,"37,500",2024,14,Blanco,España
Tesla Model 3,"37,520",2025,0,Blanco,España
Tesla Model 3,"37,770",2025,0,Azul,España
Tesla Model 3,"37,700",2023,"28,589",Negro,Francia
Tesla Model 3 Long Range AWD,"37,900",2022,"20,049",Negro,España
Tesla Model 3,"38,070",2025,0,Blanco,España
Tesla Model 3,"38,070",2024,12,Blanco,España
Tesla Model 3 Long Range RWD,"38,400",2023,"36,843",Negro,Francia
Tesla Model 3,"38,470",2025,0,Desconocido,España
Tesla Model 3,"38,470",2024,"3,351",Gris,España
Tesla Model 3,"38,475",2025,0,Azul,Portugal
Tesla Model 3,"38,820",2025,0,Azul,España
Tesla Model 3,"38,870",2025,0,Blanco,España
Tesla Model 3,"39,120",2025,0,Azul,España
Tesla Model 3,"39,370",2025,0,Azul,España
Tesla Model 3,"39,370",2024,12,Azul,España
Tesla Model 3,"39,420",2025,12,Blanco,España
Tesla Model 3,"39,420",2024,0,Blanco,España
Tesla Model 3,"39,520",2025,0,Rojo,España
Tesla Model 3 Performance,"39,600",2020,"40,205",Blanco,España
