model,color,name,year,km,price
Model S,Negro,TESLA Model S Ludicrous Performance 4WD,2020,"94,000",51.990 €
Model S,Rojo,TESLA Model S 75D 4WD,2017,"121,000",22.900 €
Model S,Rojo,TESLA Model S 90D 4WD,2017,"184,000",24.900 €
Model S,Rojo,TESLA Model S 75D 4WD,2019,"39,000",38.900 €
Model S,Rojo,TESLA Model S Autonomia Estandar 4WD,2014,"233,000",21.990 €
Model S,Rojo,TESLA Model S AWD,2023,"29,000",74.990 €
Model S,Rojo,TESLA Model S 100D 4WD,2018,"148,000",35.500 €
Model S,Rojo,TESLA Model S 100D 4WD 5p.,2018,"98,500",44.990 €
Model S,Rojo,TESLA Model S 90D 4WD 5p.,2017,"195,000",23.700 €
Model S,Rojo,TESLA Model S,2014,"203,000",17.800 €
Model 3,Blanco,TESLA Model 3 RWD,2022,"30,797",31.820 €
Model 3,Blanco,TESLA Model 3 Performance AWD,2019,"169,800",28.990 €
Model 3,Blanco,TESLA Model 3 Gran Autonomia AWD,2020,"138,000",26.990 €
Model 3,Blanco,TESLA Model 3 Gran Autonomia AWD,2020,"72,000",28.000 €
Model 3,Granate,TESLA Model 3 Gran Autonomia AWD,2024,"16,700",44.900 €
Model 3,Granate,TESLA Model 3 Gran Autonomia AWD,2024,"16,700",44.900 €
Model 3,Granate,TESLA Model 3 Gran Autonomia AWD 4p.,2021,"86,300",29.990 €
Model 3,Gris/Plata,TESLA Model 3 Performance AWD,2019,"23,832",32.490 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2020,"95,000",26.900 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,12,37.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2020,"97,000",26.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,"55,852",38.390 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2022,"29,458",41.500 €
Model 3,Gris/Plata,TESLA Model 3 Estandar Plus RWD,2020,"38,000",26.890 €
Model 3,Gris/Plata,TESLA Model 3 Performance AWD,2020,"74,862",37.990 €
Model 3,Gris/Plata,TESLA Model 3 Estandar Plus RWD,2019,"135,000",19.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,12,37.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,12,37.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,"55,852",38.390 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2020,"128,000",24.850 €
Model 3,Negro,TESLA Model 3 Gran Autonomia 4WD,2021,"33,340",33.950 €
Model 3,Negro,TESLA Model 3 RWD,2022,"44,580",35.500 €
Model 3,Negro,TESLA Model 3 Performance 4WD,2021,"53,000",36.900 €
Model 3,Negro,TESLA Model 3 Estandar Plus RWD,2020,"99,000",21.999 €
Model 3,Negro,TESLA Model 3 Gran Autonomia AWD,2019,"114,000",26.000 €
Model 3,Negro,TESLA Model 3 Gran Autonomia AWD,2020,"166,000",26.990 €
Model 3,Negro,TESLA Model 3 Gran Autonomia AWD,2021,"68,000",29.890 €
Model 3,Negro,TESLA Model 3 Gran Autonomia AWD,2021,"32,000",36.900 €
Model 3,Negro,TESLA Model 3 Gran Autonomia AWD,2019,"164,000",24.990 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia AWD,2020,"60,000",29.990 €
Model 3,Rojo,TESLA Model 3 Performance AWD,2020,"88,000",32.000 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia RWD,2019,"61,500",27.980 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia AWD,2020,"70,000",28.999 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia AWD,2019,"61,046",29.900 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia AWD,2020,"60,000",29.990 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia AWD,2019,"61,046",29.900 €
Model 3,Rojo,TESLA Model 3 RWD,2022,"39,398",32.990 €
Model 3,Rojo,TESLA Model 3 Estandar Plus RWD,2020,"49,990",26.490 €
Model 3,Rojo,TESLA Model 3 Gran Autonomia AWD,2019,"127,150",27.000 €
Model X,Blanco,TESLA Model X Performance,2020,"34,162",58.790 €
Model X,Blanco,TESLA Model X 100D 4WD,2019,"85,000",54.990 €
Model X,Blanco,TESLA Model X 100D 4WD,2019,"85,000",55.990 €
Model X,Blanco,TESLA Model X Performance,2020,"34,162",58.790 €
Model X,Gris/Plata,TESLA Model X 90D 4WD,2017,"99,000",34.990 €
Model X,Gris/Plata,TESLA Model X Gran Autonomia Plus 4WD,2021,"58,000",54.900 €
Model X,Gris/Plata,TESLA Model X 90D 4WD,2017,"35,000",41.000 €
Model X,Gris/Plata,TESLA Model X Gran Autonomia 4WD,2023,"17,000",82.900 €
Model X,Gris/Plata,TESLA Model X Gran Autonomia 4WD,2023,"17,000",82.900 €
Model X,Gris/Plata,TESLA Model X 100D 4WD,2018,"55,000",34.890 €
Model X,Gris/Plata,TESLA Model X Autonomia Estandar 4WD,2019,"80,000",51.000 €
Model X,Gris/Plata,TESLA Model X Gran Autonomia Plus 4WD,2021,"58,000",54.900 €
Model X,Negro,TESLA Model X AWD,2023,"10,000",84.900 €
Model X,Negro,TESLA Model X 100D 4WD,2019,"117,000",47.500 €
Model X,Negro,TESLA Model X Ludicrous Performance 4WD,2019,"54,500",59.900 €
Model X,Negro,TESLA Model X Ludicrous Performance 4WD,2018,"83,000",48.000 €
Model X,Negro,TESLA Model X 100D 4WD,2018,"219,000",33.900 €
Model X,Negro,TESLA Model X 100D 4WD,2018,"165,000",42.900 €
Model X,Negro,TESLA Model X 90D 4WD,2017,"129,200",44.900 €
Model X,Negro,TESLA Model X 75D 4WD,2019,"79,000",37.500 €
Model X,Negro,TESLA Model X 100D 4WD,2018,"43,815",56.890 €
Model X,Negro,TESLA Model X 100D 4WD,2018,"43,815",56.890 €
Model X,Negro,TESLA Model X 75D 4WD,2017,"82,000",35.000 €
Model X,Negro,TESLA Model X 100D 4WD,2018,"119,000",57.995 €
Model X,Negro,TESLA Model X Gran Autonomia Plus 4WD,2020,"145,000",54.900 €
Model X,Negro,TESLA Model X Gran Autonomia 4WD,2020,"180,000",41.990 €
Model X,Negro,TESLA Model X 75D 4WD,2018,"88,281",49.995 €
Model X,Negro,TESLA Model X 100D 4WD,2017,"90,900",36.900 €
Model X,Negro,TESLA Model X AWD,2023,"10,000",89.900 €
Model X,Negro,TESLA Model X 75D 4WD,2017,"200,000",31.900 €
Model X,Negro,TESLA Model X 90D 4WD,2017,"133,500",49.900 €
Model X,Negro,TESLA Model X Gran Autonomia 4WD 5p.,2019,"114,000",40.900 €
Model X,Negro,TESLA Model X Gran Autonomia 4WD 5p.,2019,"120,000",55.000 €
Model X,Negro,TESLA Model X 90D 4WD 5p.,2017,"90,000",49.950 €
Model X,Rojo,TESLA Model X Ludicrous Performance 4WD,2020,"93,000",54.900 €
Model X,Rojo,TESLA Model X Ludicrous Performance 4WD,2020,"93,000",54.900 €
Model X,Rojo,TESLA Model X 90D 4WD,2017,"130,000",38.500 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2022,"72,000",31.400 €
Model Y,Blanco,TESLA Model Y Gran Autonomia 4WD,2023,"45,000",42.900 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2023,"46,686",39.900 €
Model Y,Blanco,TESLA Model Y Performance 4WD,2022,"51,900",41.900 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2024,"7,925",46.990 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2023,"45,000",33.500 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2024,"7,925",46.990 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2024,"7,925",46.990 €
Model Y,Blanco,TESLA Model Y Gran Autonomia 4WD,2023,"25,000",39.000 €
Model Y,Blanco,TESLA Model Y Gran Autonomia 4WD,2024,"3,500",47.000 €
Model Y,Blanco,TESLA Model Y Gran Autonomia 4WD,2023,"3,200",14.900 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2023,"29,000",35.250 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2022,"29,000",34.300 €
Model Y,Blanco,TESLA Model Y Performance 4WD,2023,"85,000",39.990 €
Model Y,Blanco,TESLA Model Y Gran Autonomia 4WD,2021,"48,000",39.850 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2023,"20,200",40.300 €
Model Y,Blanco,TESLA Model Y Gran Autonomia 4WD,2023,"69,200",38.900 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD 5p.,2023,"41,146",36.000 €
Model Y,Blanco,TESLA Model Y Performance 4WD 5p.,2022,"33,000",46.000 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2022,"72,000",31.400 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2024,"29,000",34.500 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD,2022,"27,200",34.997 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD 5p.,2023,"35,000",34.990 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD 5p.,2022,"69,000",34.900 €
Model Y,Blanco,TESLA Model Y,2022,"29,000",36.200 €
Model Y,Blanco,TESLA Model Y Traccion Trasera RWD 5p.,2023,"38,000",39.990 €
Model Y,Blanco,TESLA Model Y Performance 4WD,2024,"2,500",50.900 €
Model Y,Blanco,TESLA Model Y,2024,"2,200",50.900 €
Model Y,Blanco,TESLA Model Y,2022,"33,500",48.000 €
Model Y,Blanco,TESLA Model Y Gran Autonomia Traccion Trasera RWD 5p.,2023,"41,000",36.000 €
Model Y,Gris/Plata,TESLA Model Y Gran Autonomia 4WD,2024,"5,000",50.900 €
Model Y,Gris/Plata,TESLA Model Y Gran Autonomia 4WD,2024,"5,000",50.900 €
Model Y,Gris/Plata,TESLA Model Y Performance 4WD,2023,"36,000",43.000 €
Model Y,Gris/Plata,TESLA Model Y Gran Autonomia 4WD,2023,"43,500",37.900 €
Model Y,Gris/Plata,TESLA Model Y Gran Autonomia Traccion 4WD 5p.,2023,"57,717",49.999 €
