,Modelo,Precio,Color,Pais,Kilometraje,Velocidad
96,Model 3,35950.0,Azul,Italia,30999,153 kW (208 CV)
97,Model 3,41500.0,Azul,Italia,52000,340 kW (462 CV)
98,Model 3,37350.0,Azul,Italia,31000,155 kW (211 CV)
99,Model 3,37900.0,Azul,Italia,13000,258 kW (351 CV)
100,Model 3,25900.0,Azul,Italia,112000,153 kW (208 CV)
101,Model 3,46000.0,Azul,Italia,1400,153 kW (208 CV)
102,Model 3,37000.0,Azul,Italia,12500,88 kW (120 CV)
103,Model 3,30900.0,Azul,Italia,42241,153 kW (208 CV)
104,Model 3,24265.0,Azul,Italia,95000,155 kW (211 CV)
105,Model 3,23999.0,Azul,Italia,98000,100 kW (136 CV)
106,Model 3,28990.0,Rojo,España,60000,350 kW (476 CV)
107,Model 3,23490.0,Rojo,España,49990,225 kW (306 CV)
108,Model 3,27000.0,Rojo,España,127156,324 kW (441 CV)
109,Model 3,32900.0,Rojo,España,64000,377 kW (513 CV)
110,Model 3,46900.0,Rojo,España,35,258 kW (351 CV)
111,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
112,Model 3,31490.0,Rojo,España,39398,208 kW (283 CV)
113,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
114,Model 3,48900.0,Rojo,España,35,288 kW (392 CV)
115,Model 3,43900.0,Rojo,España,16500,324 kW (441 CV)
116,Model 3,27900.0,Rojo,España,125000,324 kW (441 CV)
117,Model 3,33490.0,Rojo,España,74910,377 kW (513 CV)
118,Model 3,31490.0,Rojo,España,39398,208 kW (283 CV)
119,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
120,Model 3,29990.0,Rojo,España,123000,377 kW (513 CV)
121,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
122,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
123,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
124,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
125,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
126,Model 3,31490.0,Rojo,España,39398,208 kW (283 CV)
127,Model 3,34400.0,Rojo,España,57522,324 kW (441 CV)
128,Model 3,22490.0,Rojo,España,87000,199 kW (271 CV)
129,Model 3,29900.0,Rojo,España,61046,254 kW (345 CV)
130,Model 3,34000.0,Rojo,Francia,55000,202 kW (275 CV)
131,Model 3,28990.0,Rojo,Francia,31952,88 kW (120 CV)
132,Model 3,34990.0,Rojo,Francia,35500,368 kW (500 CV)
133,Model 3,24490.0,Rojo,Francia,92370,340 kW (462 CV)
134,Model 3,39980.0,Rojo,Francia,45000,207 kW (281 CV)
135,Model 3,40990.0,Rojo,Francia,27000,377 kW (513 CV)
136,Model 3,27790.0,Rojo,Francia,74923,258 kW (351 CV)
137,Model 3,31990.0,Rojo,Francia,66954,351 kW (477 CV)
138,Model 3,28500.0,Rojo,Francia,29000,202 kW (275 CV)
139,Model 3,32800.0,Rojo,Francia,12450,202 kW (275 CV)
140,Model 3,30540.0,Rojo,Francia,44934,88 kW (120 CV)
141,Model 3,28000.0,Rojo,Francia,99500,340 kW (462 CV)
142,Model 3,31900.0,Rojo,Italia,51000,153 kW (208 CV)
143,Model 3,30900.0,Rojo,Italia,29374,153 kW (208 CV)
144,Model 3,25000.0,Rojo,Italia,68000,88 kW (120 CV)
145,Model 3,28900.0,Rojo,Italia,20000,88 kW (120 CV)
146,Model 3,40000.0,Rojo,Italia,27100,153 kW (208 CV)
147,Model 3,27990.0,Rojo,Italia,116000,153 kW (208 CV)
148,Model 3,24800.0,Rojo,Italia,297000,153 kW (208 CV)
149,Model 3,23000.0,Rojo,Italia,158000,153 kW (208 CV)
150,Model 3,41399.0,Rojo,Italia,48590,155 kW (211 CV)
151,Model 3,27500.0,Rojo,Italia,115000,153 kW (208 CV)
152,Model 3,26000.0,Rojo,Italia,143000,153 kW (208 CV)
153,Model 3,25990.0,Rojo,Italia,77000,88 kW (120 CV)
154,Model 3,22900.0,Rojo,Italia,98000,153 kW (208 CV)
155,Model 3,28900.0,Rojo,Italia,47153,153 kW (208 CV)
156,Model 3,23990.0,Blanco,España,126000,239 kW (325 CV)
157,Model 3,22999.0,Blanco,España,71000,239 kW (325 CV)
158,Model 3,28990.0,Blanco,España,169800,377 kW (513 CV)
159,Model 3,25000.0,Blanco,España,100000,324 kW (441 CV)
160,Model 3,31990.0,Blanco,España,29000,208 kW (283 CV)
161,Model 3,35000.0,Blanco,España,13000,283 kW (385 CV)
162,Model 3,32990.0,Blanco,España,421,188 kW (256 CV)
163,Model 3,25990.0,Blanco,España,62000,350 kW (476 CV)
164,Model 3,25990.0,Blanco,España,62000,350 kW (476 CV)
165,Model 3,28990.0,Blanco,España,57000,324 kW (441 CV)
166,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
167,Model 3,28900.0,Blanco,España,52000,377 kW (513 CV)
168,Model 3,24900.0,Blanco,España,88000,239 kW (325 CV)
169,Model 3,35990.0,Blanco,España,33900,377 kW (513 CV)
170,Model 3,34900.0,Blanco,España,55000,461 kW (627 CV)
171,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
172,Model 3,25990.0,Blanco,España,62000,350 kW (476 CV)
173,Model 3,25490.0,Blanco,España,84188,366 kW (498 CV)
174,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
175,Model 3,26090.0,Blanco,España,27277,225 kW (306 CV)
176,Model 3,32990.0,Blanco,España,421,188 kW (256 CV)
177,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
178,Model 3,27990.0,Blanco,España,53000,324 kW (441 CV)
179,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
180,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
181,Model 3,28000.0,Blanco,España,100000,324 kW (441 CV)
182,Model 3,25999.0,Blanco,España,70000,258 kW (351 CV)
183,Model 3,28990.0,Blanco,España,36000,350 kW (476 CV)
184,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
185,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
186,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
187,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
188,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
189,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
190,Model 3,27490.0,Blanco,España,60000,350 kW (476 CV)
191,Model 3,26090.0,Blanco,España,27277,225 kW (306 CV)
192,Model 3,32900.0,Blanco,España,58000,258 kW (351 CV)
193,Model 3,46900.0,Blanco,España,1,258 kW (351 CV)
194,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
195,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
196,Model 3,25990.0,Blanco,España,87523,350 kW (476 CV)
197,Model 3,25450.0,Blanco,España,113000,350 kW (476 CV)
198,Model 3,32990.0,Blanco,España,421,188 kW (256 CV)
199,Model 3,30450.0,Blanco,España,110000,324 kW (441 CV)
200,Model 3,29850.0,Blanco,España,26000,324 kW (441 CV)
201,Model 3,27990.0,Blanco,España,44998,208 kW (283 CV)
